portfolio_id,stock_symbol,stock_name,quantity,stock_sector,purchase_price
PF-HEA-0004,MRK,Merck & Co. Inc.,322,Healthcare,248.37
PF-MAT-0006,SHW,Sherwin-Williams Company,217,Materials,898.65
PF-CON-0006,COST,Costco Wholesale Corp.,196,Consumer Goods,897.87
PF-IND-0002,LMT,Lockheed Martin Corp.,271,Industrials,384.61
PF-UTI-0006,EXC,Exelon Corporation,441,Utilities,1414.22
PF-MAT-0007,SHW,Sherwin-Williams Company,370,Materials,180.68
PF-UTI-0007,D,Dominion Energy Inc.,385,Utilities,407.57
PF-REA-0006,WELL,Welltower Inc.,175,Real Estate,176.21
PF-IND-0003,CAT,Caterpillar Inc.,81,Industrials,686.05
PF-MAT-0008,VMC,Vulcan Materials Company,449,Materials,1082.32
PF-IND-0004,FDX,FedEx Corporation,391,Industrials,276.19
PF-TEC-0006,IBM,IBM Corporation,446,Technology,941.7
PF-REA-0007,DLR,Digital Realty Trust,260,Real Estate,917.37
PF-HEA-0005,MRK,Merck & Co. Inc.,192,Healthcare,1146.14
PF-UTI-0008,AEP,American Electric Power,489,Utilities,1170.15
PF-UTI-0009,SO,Southern Company,471,Utilities,10.85
PF-ENE-0004,MPC,Marathon Petroleum Corp.,251,Energy,39.02
PF-CON-0007,KO,The Coca-Cola Company,450,Consumer Goods,1478.13
PF-COM-0004,PARA,Paramount Global,158,Communication,366.78
PF-FIN-0008,C,Citigroup Inc.,450,Finance,855.36
PF-TEC-0007,INTC,Intel Corporation,44,Technology,1100.54
PF-COM-0005,FOX,Fox Corporation,36,Communication,1467.2
PF-UTI-0010,D,Dominion Energy Inc.,393,Utilities,197.38
PF-REA-0008,EQR,Equity Residential,244,Real Estate,1420.8
PF-HEA-0006,TMO,Thermo Fisher Scientific,136,Healthcare,796.23
PF-REA-0009,CCI,Crown Castle Inc.,217,Real Estate,1446.9
PF-UTI-0011,AEP,American Electric Power,387,Utilities,1097.6
PF-FIN-0009,JPM,JPMorgan Chase & Co.,366,Finance,474.46
PF-MAT-0009,LIN,Linde Plc,333,Materials,566.4
PF-UTI-0012,DUK,Duke Energy Corporation,232,Utilities,190.3
PF-FIN-0010,GS,Goldman Sachs Group,33,Finance,513.75
PF-REA-0010,AMT,American Tower Corp.,284,Real Estate,352.87
PF-FIN-0011,GS,Goldman Sachs Group,4,Finance,115.78
PF-REA-0011,O,Realty Income Corporation,31,Real Estate,351.12
PF-TEC-0008,NVDA,NVIDIA Corporation,441,Technology,502.34
PF-UTI-0013,NEE,NextEra Energy Inc.,122,Utilities,424.93
PF-IND-0005,GE,General Electric Company,110,Industrials,813.46
PF-MAT-0010,VMC,Vulcan Materials Company,479,Materials,1324.75
PF-UTI-0014,WEC,WEC Energy Group,243,Utilities,372.07
PF-IND-0006,RTX,Raytheon Technologies,414,Industrials,616.52
PF-TEC-0009,CSCO,Cisco Systems Inc.,50,Technology,991.88
PF-CON-0008,PG,Procter & Gamble Co.,217,Consumer Goods,622.54
PF-MAT-0011,MLM,Martin Marietta Materials,28,Materials,1013.31
PF-REA-0012,WELL,Welltower Inc.,51,Real Estate,100.31
PF-MAT-0012,MLM,Martin Marietta Materials,174,Materials,1202.88
PF-TEC-0010,IBM,IBM Corporation,128,Technology,295.47
PF-UTI-0015,D,Dominion Energy Inc.,230,Utilities,218.87
PF-HEA-0007,BMY,Bristol-Myers Squibb,143,Healthcare,699.32
PF-TEC-0011,ADBE,Adobe Inc.,227,Technology,1213.95
PF-UTI-0016,EXC,Exelon Corporation,51,Utilities,85.38
PF-UTI-0017,AEP,American Electric Power,429,Utilities,31.99
PF-TEC-0012,AMD,Advanced Micro Devices,475,Technology,1132.81
PF-FIN-0012,C,Citigroup Inc.,86,Finance,615.56
PF-IND-0007,DE,Deere & Company,110,Industrials,1298.33
PF-TEC-0013,ORCL,Oracle Corporation,85,Technology,574.67
PF-CON-0009,COST,Costco Wholesale Corp.,136,Consumer Goods,1390.51
PF-COM-0006,CHTR,Charter Communications,233,Communication,435.02
PF-MAT-0013,NEM,Newmont Corporation,491,Materials,1098.45
PF-COM-0007,CHTR,Charter Communications,285,Communication,996.19
PF-IND-0008,GE,General Electric Company,80,Industrials,292.95
PF-FIN-0013,WFC,Wells Fargo & Company,496,Finance,97.14
PF-MAT-0014,IP,International Paper Co.,278,Materials,100.83
PF-ENE-0005,PXD,Pioneer Natural Resources,30,Energy,84.71
PF-IND-0009,DE,Deere & Company,258,Industrials,1379.89
PF-UTI-0018,SO,Southern Company,81,Utilities,94.75
PF-UTI-0019,NEE,NextEra Energy Inc.,42,Utilities,1278.5
PF-TEC-0014,CRM,Salesforce Inc.,305,Technology,111.26
PF-FIN-0014,C,Citigroup Inc.,207,Finance,188.63
PF-UTI-0020,PCG,PG&E Corporation,127,Utilities,872.59
PF-TEC-0015,META,Meta Platforms Inc.,318,Technology,132.16
PF-REA-0013,EQR,Equity Residential,299,Real Estate,852.19
PF-ENE-0006,PXD,Pioneer Natural Resources,479,Energy,398.54
PF-MAT-0015,LIN,Linde Plc,367,Materials,478.13
PF-FIN-0015,SPGI,S&P Global Inc.,203,Finance,205.01
PF-REA-0014,WELL,Welltower Inc.,154,Real Estate,691.26
PF-COM-0008,VZ,Verizon Communications,480,Communication,118.09
PF-IND-0010,UPS,United Parcel Service,319,Industrials,1497.7
PF-TEC-0016,CSCO,Cisco Systems Inc.,38,Technology,811.08
PF-IND-0011,FDX,FedEx Corporation,136,Industrials,207.36
PF-ENE-0007,PSX,Phillips 66,452,Energy,112.5
PF-FIN-0016,AXP,American Express Company,190,Finance,434.63
PF-IND-0012,BA,Boeing Company,427,Industrials,819.39
PF-ENE-0008,SLB,SLB (Schlumberger),314,Energy,1475.94
PF-COM-0009,PARA,Paramount Global,335,Communication,798.12
PF-MAT-0016,LIN,Linde Plc,419,Materials,836.36
PF-REA-0015,EQR,Equity Residential,54,Real Estate,1409.01
PF-HEA-0008,UNH,UnitedHealth Group,136,Healthcare,181.99
PF-TEC-0017,IBM,IBM Corporation,381,Technology,834.3
PF-FIN-0017,CB,Chubb Limited,145,Finance,911.2
PF-MAT-0017,NUE,Nucor Corporation,176,Materials,313.36
PF-REA-0016,DLR,Digital Realty Trust,437,Real Estate,403.34
PF-IND-0013,GE,General Electric Company,129,Industrials,1358.95
PF-TEC-0018,TSLA,Tesla Inc.,48,Technology,955.08
PF-ENE-0009,XOM,Exxon Mobil Corporation,23,Energy,15.28
PF-COM-0010,NFLX,Netflix Inc.,67,Communication,959.3
PF-FIN-0018,SPGI,S&P Global Inc.,83,Finance,1114.43
PF-UTI-0021,EXC,Exelon Corporation,362,Utilities,647.25
PF-TEC-0019,MSFT,Microsoft Corporation,58,Technology,122.11
PF-MAT-0018,ECL,Ecolab Inc.,463,Materials,232.09
PF-TEC-0020,NVDA,NVIDIA Corporation,428,Technology,560.13
PF-UTI-0022,EXC,Exelon Corporation,76,Utilities,650.38
PF-TEC-0021,META,Meta Platforms Inc.,158,Technology,553.33
PF-COM-0011,TMUS,T-Mobile US Inc.,498,Communication,1292.45
PF-CON-0010,PG,Procter & Gamble Co.,108,Consumer Goods,1026.28
PF-MAT-0019,LIN,Linde Plc,53,Materials,536.98
PF-UTI-0023,SRE,Sempra Energy,453,Utilities,1313.32
PF-REA-0017,SPG,Simon Property Group,384,Real Estate,240.28
PF-FIN-0019,C,Citigroup Inc.,443,Finance,252.13
PF-COM-0012,WBD,Warner Bros. Discovery,416,Communication,273.81
PF-CON-0011,SBUX,Starbucks Corporation,13,Consumer Goods,277.25
PF-ENE-0010,VLO,Valero Energy Corporation,401,Energy,1396.92
PF-COM-0013,WBD,Warner Bros. Discovery,343,Communication,1297.46
PF-COM-0014,PARA,Paramount Global,128,Communication,407.54
PF-COM-0015,CHTR,Charter Communications,360,Communication,171.06
PF-TEC-0022,NVDA,NVIDIA Corporation,440,Technology,711.33
PF-FIN-0020,JPM,JPMorgan Chase & Co.,419,Finance,1378.49
PF-ENE-0011,PSX,Phillips 66,157,Energy,1232.6
PF-FIN-0021,MS,Morgan Stanley,115,Finance,45.26
PF-HEA-0009,AMGN,Amgen Inc.,205,Healthcare,499.11
PF-TEC-0023,CRM,Salesforce Inc.,496,Technology,1162.26
PF-ENE-0012,PSX,Phillips 66,329,Energy,769.01
PF-MAT-0020,APD,Air Products & Chemicals,432,Materials,808.96
PF-TEC-0024,AMZN,Amazon.com Inc.,60,Technology,1316.79
PF-FIN-0022,SPGI,S&P Global Inc.,92,Finance,875.08
PF-FIN-0023,SPGI,S&P Global Inc.,20,Finance,171.52
PF-IND-0014,CAT,Caterpillar Inc.,177,Industrials,1095.53
PF-ENE-0013,PXD,Pioneer Natural Resources,224,Energy,913.25
PF-UTI-0024,NEE,NextEra Energy Inc.,60,Utilities,583.94
PF-UTI-0025,WEC,WEC Energy Group,98,Utilities,389.54
PF-MAT-0021,FCX,Freeport-McMoRan Inc.,224,Materials,12.52
PF-COM-0016,PARA,Paramount Global,276,Communication,1033.42
PF-MAT-0022,IP,International Paper Co.,378,Materials,1009.24
PF-CON-0012,KO,The Coca-Cola Company,221,Consumer Goods,114.26
PF-MAT-0023,LIN,Linde Plc,472,Materials,502.0
PF-ENE-0014,PXD,Pioneer Natural Resources,340,Energy,1273.54
PF-MAT-0024,VMC,Vulcan Materials Company,461,Materials,457.48
PF-ENE-0015,EOG,EOG Resources Inc.,342,Energy,618.51
PF-CON-0013,NKE,NIKE Inc.,357,Consumer Goods,450.53
PF-HEA-0010,PFE,Pfizer Inc.,99,Healthcare,636.47
PF-CON-0014,WMT,Walmart Inc.,347,Consumer Goods,1124.72
PF-HEA-0011,MDT,Medtronic Plc,316,Healthcare,857.97
PF-CON-0015,NKE,NIKE Inc.,281,Consumer Goods,1252.25
PF-ENE-0016,SLB,SLB (Schlumberger),147,Energy,323.17
PF-COM-0017,CHTR,Charter Communications,297,Communication,913.93
PF-ENE-0017,MPC,Marathon Petroleum Corp.,239,Energy,668.26
PF-MAT-0025,APD,Air Products & Chemicals,110,Materials,771.65
PF-COM-0018,TMUS,T-Mobile US Inc.,462,Communication,1440.15
PF-MAT-0026,IP,International Paper Co.,87,Materials,991.69
PF-ENE-0018,CVX,Chevron Corporation,264,Energy,999.14
PF-REA-0018,SPG,Simon Property Group,172,Real Estate,149.15
PF-COM-0019,VZ,Verizon Communications,121,Communication,1012.47
PF-FIN-0024,GS,Goldman Sachs Group,413,Finance,306.7
PF-TEC-0025,AMZN,Amazon.com Inc.,24,Technology,374.82
PF-IND-0015,RTX,Raytheon Technologies,313,Industrials,1276.11
PF-TEC-0026,ADBE,Adobe Inc.,234,Technology,627.52
PF-REA-0019,O,Realty Income Corporation,295,Real Estate,299.71
PF-MAT-0027,NEM,Newmont Corporation,197,Materials,746.62
PF-FIN-0025,AXP,American Express Company,76,Finance,987.53
PF-TEC-0027,AAPL,Apple Inc.,458,Technology,1128.94
PF-COM-0020,NFLX,Netflix Inc.,454,Communication,168.82
PF-CON-0016,TGT,Target Corporation,113,Consumer Goods,272.07
PF-MAT-0028,NEM,Newmont Corporation,266,Materials,702.18
PF-UTI-0026,SRE,Sempra Energy,128,Utilities,1377.03
PF-HEA-0012,JNJ,Johnson & Johnson,234,Healthcare,208.68
PF-IND-0016,LMT,Lockheed Martin Corp.,342,Industrials,801.39
PF-UTI-0027,SRE,Sempra Energy,305,Utilities,482.77
PF-COM-0021,VZ,Verizon Communications,457,Communication,669.43
PF-COM-0022,FOX,Fox Corporation,369,Communication,1339.11
PF-CON-0017,TGT,Target Corporation,426,Consumer Goods,1361.21
PF-IND-0017,HON,Honeywell International,460,Industrials,247.15
PF-IND-0018,RTX,Raytheon Technologies,231,Industrials,396.2
PF-FIN-0026,AXP,American Express Company,431,Finance,960.12
PF-COM-0023,NFLX,Netflix Inc.,399,Communication,786.74
PF-REA-0020,O,Realty Income Corporation,123,Real Estate,419.15
PF-TEC-0028,ADBE,Adobe Inc.,366,Technology,435.73
PF-FIN-0027,CB,Chubb Limited,172,Finance,486.37
PF-UTI-0028,AEP,American Electric Power,42,Utilities,216.18
PF-FIN-0028,MS,Morgan Stanley,197,Finance,1043.99
PF-MAT-0029,FCX,Freeport-McMoRan Inc.,110,Materials,105.7
PF-CON-0018,SBUX,Starbucks Corporation,170,Consumer Goods,818.49
PF-CON-0019,HD,The Home Depot Inc.,32,Consumer Goods,318.18
PF-CON-0020,HD,The Home Depot Inc.,200,Consumer Goods,1358.21
PF-UTI-0029,ES,Eversource Energy,485,Utilities,1046.33
PF-COM-0024,CMCSA,Comcast Corporation,295,Communication,576.77
PF-TEC-0029,AAPL,Apple Inc.,483,Technology,534.12
PF-COM-0025,VZ,Verizon Communications,200,Communication,1281.64
PF-CON-0021,HD,The Home Depot Inc.,276,Consumer Goods,1123.8
PF-UTI-0030,AEP,American Electric Power,410,Utilities,908.85
PF-FIN-0029,GS,Goldman Sachs Group,250,Finance,336.94
PF-IND-0019,CAT,Caterpillar Inc.,249,Industrials,53.25
PF-ENE-0019,OXY,Occidental Petroleum,343,Energy,1021.92
PF-CON-0022,NKE,NIKE Inc.,371,Consumer Goods,255.92
PF-IND-0020,LMT,Lockheed Martin Corp.,471,Industrials,200.17
PF-REA-0021,SPG,Simon Property Group,274,Real Estate,50.18
PF-CON-0023,MCD,McDonald's Corporation,304,Consumer Goods,850.94
PF-TEC-0030,AMZN,Amazon.com Inc.,43,Technology,967.7
PF-HEA-0013,UNH,UnitedHealth Group,444,Healthcare,697.93
PF-TEC-0031,TSLA,Tesla Inc.,134,Technology,574.86
PF-FIN-0030,WFC,Wells Fargo & Company,233,Finance,497.0
PF-COM-0026,CMCSA,Comcast Corporation,451,Communication,574.9
PF-COM-0027,VZ,Verizon Communications,488,Communication,1249.57
PF-FIN-0031,BLK,BlackRock Inc.,428,Finance,132.04
PF-TEC-0032,GOOGL,Alphabet Inc.,384,Technology,813.73
PF-ENE-0020,PSX,Phillips 66,115,Energy,978.71
PF-COM-0028,DIS,The Walt Disney Company,491,Communication,981.11
PF-COM-0029,VZ,Verizon Communications,16,Communication,1424.92
PF-FIN-0032,JPM,JPMorgan Chase & Co.,430,Finance,40.37
PF-HEA-0014,MRK,Merck & Co. Inc.,123,Healthcare,198.07
PF-MAT-0030,LIN,Linde Plc,59,Materials,850.31
PF-FIN-0033,WFC,Wells Fargo & Company,239,Finance,1052.2
PF-COM-0030,NFLX,Netflix Inc.,189,Communication,260.01
PF-REA-0022,CCI,Crown Castle Inc.,494,Real Estate,1124.41
PF-TEC-0033,QCOM,Qualcomm Inc.,399,Technology,1230.76
PF-ENE-0021,EOG,EOG Resources Inc.,56,Energy,872.24
PF-ENE-0022,EOG,EOG Resources Inc.,295,Energy,1019.25
PF-CON-0024,WMT,Walmart Inc.,204,Consumer Goods,1412.79
PF-FIN-0034,JPM,JPMorgan Chase & Co.,39,Finance,892.23
PF-REA-0023,O,Realty Income Corporation,125,Real Estate,161.83
PF-COM-0031,NFLX,Netflix Inc.,155,Communication,1276.94
PF-REA-0024,PLD,Prologis Inc.,413,Real Estate,190.37
PF-UTI-0031,PCG,PG&E Corporation,401,Utilities,71.19
PF-UTI-0032,D,Dominion Energy Inc.,220,Utilities,995.67
PF-TEC-0034,CRM,Salesforce Inc.,260,Technology,974.84
PF-TEC-0035,MSFT,Microsoft Corporation,435,Technology,635.89
PF-IND-0021,GE,General Electric Company,55,Industrials,655.95
PF-CON-0025,KO,The Coca-Cola Company,326,Consumer Goods,1338.45
PF-IND-0022,UPS,United Parcel Service,363,Industrials,237.96
PF-HEA-0015,MDT,Medtronic Plc,376,Healthcare,787.4
PF-REA-0025,AVB,AvalonBay Communities,139,Real Estate,927.71
PF-UTI-0033,D,Dominion Energy Inc.,397,Utilities,730.41
PF-IND-0023,CAT,Caterpillar Inc.,423,Industrials,1099.23
PF-FIN-0035,CB,Chubb Limited,166,Finance,1279.05
PF-TEC-0036,AMD,Advanced Micro Devices,143,Technology,1323.63
PF-FIN-0036,AXP,American Express Company,385,Finance,702.42
PF-REA-0026,EQIX,Equinix Inc.,343,Real Estate,574.69
PF-TEC-0037,AMZN,Amazon.com Inc.,254,Technology,1277.92
PF-HEA-0016,BMY,Bristol-Myers Squibb,250,Healthcare,326.06
PF-COM-0032,WBD,Warner Bros. Discovery,133,Communication,517.1
PF-REA-0027,PLD,Prologis Inc.,360,Real Estate,1321.36
PF-UTI-0034,SRE,Sempra Energy,6,Utilities,779.77
PF-HEA-0017,AMGN,Amgen Inc.,44,Healthcare,369.62
PF-CON-0026,SBUX,Starbucks Corporation,251,Consumer Goods,837.21
PF-FIN-0037,C,Citigroup Inc.,354,Finance,719.38
PF-MAT-0031,NUE,Nucor Corporation,252,Materials,677.78
PF-TEC-0038,GOOGL,Alphabet Inc.,48,Technology,448.41
PF-CON-0027,NKE,NIKE Inc.,355,Consumer Goods,372.52
PF-REA-0028,EQR,Equity Residential,298,Real Estate,559.84
PF-UTI-0035,EXC,Exelon Corporation,272,Utilities,522.2
PF-COM-0033,T,AT&T Inc.,282,Communication,502.88
PF-MAT-0032,NEM,Newmont Corporation,233,Materials,413.67
PF-FIN-0038,BLK,BlackRock Inc.,119,Finance,189.78
PF-HEA-0018,AMGN,Amgen Inc.,162,Healthcare,188.14
PF-UTI-0036,D,Dominion Energy Inc.,487,Utilities,1145.66
PF-HEA-0019,BMY,Bristol-Myers Squibb,99,Healthcare,332.41
PF-IND-0024,DE,Deere & Company,142,Industrials,1089.63
PF-COM-0034,CMCSA,Comcast Corporation,269,Communication,899.22
PF-TEC-0039,CSCO,Cisco Systems Inc.,427,Technology,299.24
PF-FIN-0039,MS,Morgan Stanley,185,Finance,277.37
PF-TEC-0040,MSFT,Microsoft Corporation,363,Technology,805.86
PF-ENE-0023,XOM,Exxon Mobil Corporation,24,Energy,1461.7
PF-UTI-0037,EXC,Exelon Corporation,150,Utilities,1049.15
PF-HEA-0020,PFE,Pfizer Inc.,327,Healthcare,1304.01
PF-IND-0025,GE,General Electric Company,53,Industrials,1310.35
PF-UTI-0038,WEC,WEC Energy Group,146,Utilities,709.4
PF-IND-0026,BA,Boeing Company,175,Industrials,284.7
PF-TEC-0041,TSLA,Tesla Inc.,130,Technology,1412.18
PF-IND-0027,DE,Deere & Company,59,Industrials,1234.95
PF-CON-0028,NKE,NIKE Inc.,252,Consumer Goods,120.38
PF-REA-0029,O,Realty Income Corporation,352,Real Estate,89.88
PF-HEA-0021,MRK,Merck & Co. Inc.,416,Healthcare,848.63
PF-ENE-0024,SLB,SLB (Schlumberger),44,Energy,1490.94
PF-HEA-0022,JNJ,Johnson & Johnson,286,Healthcare,1149.02
PF-REA-0030,CCI,Crown Castle Inc.,306,Real Estate,1188.2
PF-FIN-0040,GS,Goldman Sachs Group,398,Finance,788.63
PF-IND-0028,HON,Honeywell International,466,Industrials,669.65
PF-REA-0031,AMT,American Tower Corp.,220,Real Estate,465.02
PF-REA-0032,SPG,Simon Property Group,31,Real Estate,918.35
PF-MAT-0033,IP,International Paper Co.,51,Materials,1421.91
PF-FIN-0041,BAC,Bank of America Corp.,321,Finance,324.43
PF-REA-0033,EQR,Equity Residential,42,Real Estate,244.02
PF-HEA-0023,MDT,Medtronic Plc,283,Healthcare,121.85
PF-TEC-0042,AAPL,Apple Inc.,210,Technology,681.25
PF-REA-0034,PLD,Prologis Inc.,241,Real Estate,443.98
PF-FIN-0042,MS,Morgan Stanley,148,Finance,1063.36
PF-MAT-0034,NEM,Newmont Corporation,441,Materials,686.51
PF-MAT-0035,SHW,Sherwin-Williams Company,120,Materials,1386.63
PF-COM-0035,CHTR,Charter Communications,406,Communication,941.34
PF-REA-0035,EQR,Equity Residential,412,Real Estate,1401.17
PF-CON-0029,TGT,Target Corporation,59,Consumer Goods,821.4
PF-REA-0036,WELL,Welltower Inc.,77,Real Estate,1363.53
PF-HEA-0024,ABT,Abbott Laboratories,37,Healthcare,98.86
PF-COM-0036,TMUS,T-Mobile US Inc.,158,Communication,896.62
PF-UTI-0039,PCG,PG&E Corporation,472,Utilities,440.03
PF-HEA-0025,JNJ,Johnson & Johnson,240,Healthcare,1036.13
PF-MAT-0036,NEM,Newmont Corporation,207,Materials,1414.59
PF-IND-0029,FDX,FedEx Corporation,277,Industrials,745.75
PF-TEC-0043,INTC,Intel Corporation,307,Technology,69.39
PF-IND-0030,CAT,Caterpillar Inc.,377,Industrials,490.26
PF-FIN-0043,BLK,BlackRock Inc.,14,Finance,146.08
PF-MAT-0037,APD,Air Products & Chemicals,429,Materials,1292.17
PF-REA-0037,AMT,American Tower Corp.,487,Real Estate,40.91
PF-COM-0037,CMCSA,Comcast Corporation,345,Communication,1233.92
PF-UTI-0040,WEC,WEC Energy Group,21,Utilities,1147.03
PF-HEA-0026,MDT,Medtronic Plc,241,Healthcare,783.26
PF-IND-0031,BA,Boeing Company,470,Industrials,424.45
PF-UTI-0041,ES,Eversource Energy,224,Utilities,955.83
PF-IND-0032,GE,General Electric Company,497,Industrials,145.95
PF-ENE-0025,PSX,Phillips 66,210,Energy,506.63
PF-MAT-0038,LIN,Linde Plc,54,Materials,1288.02
PF-ENE-0026,VLO,Valero Energy Corporation,211,Energy,1043.57
PF-ENE-0027,CVX,Chevron Corporation,340,Energy,1418.34
PF-COM-0038,FOX,Fox Corporation,390,Communication,829.64
PF-IND-0033,UPS,United Parcel Service,46,Industrials,478.63
PF-ENE-0028,MPC,Marathon Petroleum Corp.,60,Energy,1455.58
PF-CON-0030,NKE,NIKE Inc.,443,Consumer Goods,776.75
PF-TEC-0044,AAPL,Apple Inc.,337,Technology,1305.36
PF-IND-0034,LMT,Lockheed Martin Corp.,212,Industrials,90.76
PF-UTI-0042,DUK,Duke Energy Corporation,186,Utilities,937.72
PF-IND-0035,MMM,3M Company,321,Industrials,668.64
PF-TEC-0045,TSLA,Tesla Inc.,105,Technology,407.91
PF-HEA-0027,PFE,Pfizer Inc.,475,Healthcare,439.16
PF-MAT-0039,NEM,Newmont Corporation,249,Materials,190.92
PF-REA-0038,O,Realty Income Corporation,312,Real Estate,1200.98
PF-MAT-0040,FCX,Freeport-McMoRan Inc.,82,Materials,473.02
PF-TEC-0046,MSFT,Microsoft Corporation,283,Technology,617.91
PF-FIN-0044,GS,Goldman Sachs Group,431,Finance,1370.27
PF-IND-0036,LMT,Lockheed Martin Corp.,485,Industrials,185.02
PF-HEA-0028,MRK,Merck & Co. Inc.,256,Healthcare,1399.65
PF-ENE-0029,COP,ConocoPhillips,261,Energy,1061.06
PF-CON-0031,HD,The Home Depot Inc.,428,Consumer Goods,728.92
PF-IND-0037,RTX,Raytheon Technologies,125,Industrials,690.61
PF-HEA-0029,ABT,Abbott Laboratories,197,Healthcare,294.01
PF-REA-0039,PLD,Prologis Inc.,261,Real Estate,1121.98
PF-HEA-0030,UNH,UnitedHealth Group,443,Healthcare,114.02
PF-COM-0039,NFLX,Netflix Inc.,405,Communication,1283.07
PF-ENE-0030,OXY,Occidental Petroleum,479,Energy,1183.7
PF-FIN-0045,CB,Chubb Limited,421,Finance,13.82
PF-MAT-0041,VMC,Vulcan Materials Company,153,Materials,1257.84
PF-UTI-0043,ES,Eversource Energy,338,Utilities,739.56
PF-HEA-0031,MRK,Merck & Co. Inc.,229,Healthcare,812.49
PF-ENE-0031,PSX,Phillips 66,171,Energy,832.36
PF-UTI-0044,AEP,American Electric Power,194,Utilities,688.46
PF-ENE-0032,MPC,Marathon Petroleum Corp.,446,Energy,291.09
PF-MAT-0042,NEM,Newmont Corporation,123,Materials,861.98
PF-FIN-0046,MS,Morgan Stanley,439,Finance,1165.56
PF-TEC-0047,META,Meta Platforms Inc.,163,Technology,1119.61
PF-MAT-0043,FCX,Freeport-McMoRan Inc.,468,Materials,1219.0
PF-CON-0032,COST,Costco Wholesale Corp.,340,Consumer Goods,1190.67
PF-REA-0040,AVB,AvalonBay Communities,78,Real Estate,748.04
PF-TEC-0048,NVDA,NVIDIA Corporation,65,Technology,758.41
PF-REA-0041,AMT,American Tower Corp.,170,Real Estate,1305.85
PF-IND-0038,BA,Boeing Company,52,Industrials,793.67
PF-IND-0039,UPS,United Parcel Service,8,Industrials,1086.44
PF-CON-0033,SBUX,Starbucks Corporation,446,Consumer Goods,985.62
PF-HEA-0032,MRK,Merck & Co. Inc.,39,Healthcare,709.54
PF-FIN-0047,SPGI,S&P Global Inc.,174,Finance,938.66
PF-CON-0034,MCD,McDonald's Corporation,333,Consumer Goods,129.67
PF-ENE-0033,VLO,Valero Energy Corporation,437,Energy,1014.79
PF-UTI-0045,D,Dominion Energy Inc.,195,Utilities,1431.67
PF-REA-0042,O,Realty Income Corporation,368,Real Estate,1332.28
PF-IND-0040,GE,General Electric Company,447,Industrials,816.11
PF-REA-0043,SPG,Simon Property Group,36,Real Estate,359.81
PF-MAT-0044,SHW,Sherwin-Williams Company,472,Materials,438.19
